projectId,isOn,trustProductName,proectIssueCode,trustCompanyName,trustCompanyShortName,trustTremType,trustPropertyApplicationDesc,trustPropertyManagementDesc,issueCodeDate,publicityTime,registrationTime
6235,1,云锦优选集合资金信托计划,ZXD32Y201710010023464,云南国际信托有限公司,云南信托,12,金融业,股票投资,2017-10-26,2017-11-21,2017-11-16
6116,1,湖南信托湘财聚2017-16项目,ZXD32H201710010022273,湖南省信托有限责任公司,湖南信托,13.1,水利、环境和公共设施管理业,信托贷款,2017-10-25,2017-11-21,2017-11-10
4518,1,华润信托·星石恒享证券投资集合资金信托计划,ZXD38H201710010006474,华润深国投信托有限公司,华润信托,120,金融业,股票投资,2017-10-13,2017-11-29,2017-11-15
3126,1,国通信托·融盛1号集合资金信托计划,ZXD31F201709110029399,国通信托有限责任公司,国通信托,12,批发和零售业,信托贷款,2017-09-27,2017-11-20,2017-11-07
3111,1,中建投信托·安泉190号（美的宁波）集合资金信托计划,ZXD38Z201709010029247,中建投信托有限责任公司,中建投信托,12,房地产业,信托贷款,2017-09-26,2017-11-20,2017-11-10
5611,1,华润信托·粮润致晟集合资金信托计划,ZXD38H201710010017274,华润深国投信托有限公司,华润信托,60,"金融业,其他","债券投资,股票投资",2017-10-23,2017-11-21,2017-11-14
4470,1,2017年中诚信托诚祥1号贷款项目集合资金信托计划,ZXD32Z20171001000600X,中诚信托有限责任公司,中诚信托,24,房地产业,信托贷款,2017-10-13,2017-11-29,2017-11-17
2132,1,中铁信托·智兴1701期集合资金信托计划,ZXD43Z201709010019495,中铁信托有限责任公司,中铁信托,24,金融业,其他债权资产,2017-09-20,2017-11-30,2017-10-27
2064,1,中航信托·天启【2017】258号航安集合资金信托计划第11期信托单位,ZXD37Z201709010018817,中航信托股份有限公司,中航信托,45,金融业,资产收益权（不附回购）,2017-09-20,2017-11-30,2017-11-17
5581,1,中国民生信托-至信412号民赢26号证券投资集合资金信托计划,ZXD35Z201710010016971,中国民生信托有限公司,民生信托,12.1,金融业,股票投资,2017-10-23,2017-11-22,2017-11-16
1813,1,云南信托-财杰可交换私募债3号集合资金信托计划,ZXD32Y201709010016339,云南国际信托有限公司,云南信托,42,金融业,债券投资,2017-09-19,2017-11-30,2017-11-23
1809,1,云南信托-财杰可交换私募债1号集合资金信托计划,ZXD32Y201709010016294,云南国际信托有限公司,云南信托,42,金融业,债券投资,2017-09-19,2017-11-30,2017-11-23
5560,1,江苏信托睿质16号集合资金信托计划,ZXD33J201710110016772,江苏省国际信托有限责任公司,江苏信托,12,信息传输、软件和信息技术服务业,特定资产及其收（受）益权附回购,2017-10-23,2017-11-21,2017-11-10
1717,1,鑫云稳健9号集合资金信托计划,ZXD32Y201709110015375,云南国际信托有限公司,云南信托,12,金融业,债券投资,2017-09-18,2017-11-20,2017-11-10
1352,1,国民信托阳光稳健7号证券投资集合资金信托计划,ZXD34G201709010011763,国民信托有限公司,国民信托,12,"金融业,其他",股票投资,2017-09-14,2017-11-20,2017-11-06
4873,1,"厦门信托-汇金1762-2号""京东白条""资产支持证券投资集合资金信托计划",ZXD33X201710110009974,厦门国际信托有限公司,厦门信托,15,金融业,资产收益权（不附回购）,2017-10-17,2017-11-21,2017-11-14
